RegionName,"Rent change, June 2020-2022","Rent change, June 2022-2023"
Tampa,43.966860071741664,2.333434943462298
Saint Petersburg,45.65811584630919,3.5695828453555567
Clearwater,46.39554415312273,4.124085640701836
Riverview,41.96518974851493,3.319677936800325
New Port Richey,42.26204328759495,6.7997777507357915
Spring Hill,48.20425832591211,7.693204564146217
Largo,46.24143488320773,2.642914594636925
Town 'n' Country,45.84106478966312,2.8427116903475325
Brandon,40.68687760617258,4.265996830615149
Wesley Chapel,42.59435159772713,2.17679128381858
Plant City,37.58684711990101,4.153869076793382
Land O Lakes,42.58483497682186,1.1413033903272973
Palm Harbor,40.78668227274094,1.7581853398309866
Lutz,40.376137085033356,3.824962098194429
Valrico,39.39360381388182,5.087155544590538
Zephyrhills,37.92265593209172,4.263719603615224
Seminole,44.19412559861213,7.435045761585601
Pinellas Park,44.59175958955643,4.748486384634609
Port Richey,,4.952835422537172
Brooksville,,
Hudson,43.03196798610027,5.262125799348816
Egypt Lake-Leto,,1.2467481814597114
Greater Carrollwood,45.369326975354966,2.379904895342966
Tarpon Springs,46.02336834321035,4.0782993534393075
Dunedin,45.448231639466854,3.168471847990606
Ruskin,43.18541847790114,9.084515752414957
Holiday,40.88496796771148,3.660401972544358
Temple Terrace,46.009664113731,0.03832821325304714
Citrus Park,,0.22969874963203463
Odessa,,-0.7925080334743817
Seffner,40.77361866314566,5.8190893621184125
East Lake-Orient Park,48.9144603561285,-3.275738069066325
Wimauma,,
Sun City Center,44.516630474701266,7.265081888053326
Westchase,45.6656923499074,0.2903942751286026
Greater Northdale,,-0.2543746804295588
Lithia,,3.917529978953316
Apollo Beach,,9.454260887476163
Palm River-Clair Mel,,
Dade City,,
Dover,,
Gibsonton,,9.437681794117925
Safety Harbor,,
Gulfport,,7.254450608154328
Pebble Creek,,0.8935428390852485
Saint Pete Beach,,21.1107891111854
Treasure Island,,29.713824004005197
Madeira Beach,,
Redington Shores,,
North Redington Beach,,
Feather Sound,,
